rank,URI,artist,track,source,peak_rank,previous_rank,weeks_on_chart,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,pred_msPlayed
90,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,Quevedo,VISTA AL MAR,Quevedo,45,76,18,9167184,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,180673,
91,spotify:track:3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",91,145,8,9149116,0.485,0.409,9,-10.711,0,0.101,0.325,0,0.103,0.376,138.419,164571,
92,spotify:track:6sCvvleqKbeyOkQDieBYgp,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Roc Nation/Def Jam/Hollywood,11,109,11,9130914,0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,196520,
93,spotify:track:7Els4IIFYa4P4RxBkZkxdd,"Arijit Singh, Sachin-Jigar","Apna Bana Le (From ""Bhediya"")",Zee Music Company,93,142,2,9092187,0.586,0.562,9,-7.399,1,0.0267,0.803,5.52E-06,0.063,0.436,93.982,261702,
94,spotify:track:6WbAhuwE6fCOriBu5786X1,"KAROL G, Ovy On The Drums",CAIRO,UMLE - Latino,75,100,8,9073164,0.951,0.692,5,-4.038,0,0.312,0.472,0.000182,0.0894,0.431,115.047,201280,
95,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,56,94,108,8967914,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,
96,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,85,12,8919292,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17E-05,0.115,0.23,139.865,174783,
97,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,57,110,18,8849434,0.369,0.192,4,-12.151,0,0.04,0.555,8.35E-06,0.0954,0.148,175.212,228013,
98,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,138,209,8843090,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,
99,spotify:track:4rPJSqrov3zqGwXlemLBMw,"RAYE, 070 Shake",Escapism. - Sped Up,Human Re Sources,99,180,2,8839955,0.435,0.768,6,-5.352,0,0.201,0.0857,0.000231,0.0918,0.378,107.588,239888,
100,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,76,116,77,8821050,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,292799,
